"Title","Author","indivauthor","Publication","Type","Year"
"NHL puts historical stats at your fingertips - NHL.com","Nicholas J. Cotsonika","Y","NHL.com","Team/League Source",2017
"An advanced stat primer: Understanding basic hockey metrics - The Athletic - The New York Times","Charlie OConnor","Y","The New York Times","News",2017
"John Chayka, the Arizona Coyotes' whiz-kid GM, is more than just a numbers nerd - ESPN","Josh Cooper","Y","ESPN","Website",2017
"Kroenke Sports makes new analytics hire to work with the Colorado Avalanche - Mile High Hockey","Tom Hunter","Y","Mile High Hockey","Blog",2017
"Stats vs. Eye-Test is Dead – There is Only the Acceptance or Denial of Evidence-Based Analysis - Canucks Army","Jeremy Davis","Y","Canucks Army","Blog",2017
"Defending PIM, hits and other fantasy hockey ""trash"" stats - ESPN","Greg Wyshynski","Y","ESPN","Website",2017
"A New Way to Predict & Measure NHL Success - The Hockey Writers","Kyle Gipe","Y","The Hockey Writers","Website",2018
"Omega Installs Player Tracking For Olympic Hockey, Could NHL Be Next? - Sports Business Journal","Joe Lemire","Y","Sports Business Journal","News",2018
"A Goalie Comparison Tool and What it Tells us about New Jersey Devils - Pucks and Pitchforks","Tyler Kelley","Y","Pucks and Pitchforks","Blog",2018
"Dellow: A conversation with Eric Tulsky of the Carolina Hurricanes - The Athletic - The New York Times","Tyler Dellow","Y","The New York Times","News",2018
"Dellow: How SportLogiq is providing data for the next big thing in hockey - The New York Times","Tyler Dellow","Y","The New York Times","News",2018
"AI-Powered Hockey Analytics: A Game Changer - syncedreview.com","Ryan Darville; Alex Brown; Willis Marks","Y","syncedreview.com","Website",2018
"How Orlando Solar Bears coach Drake Berehowsky built his own analytics tool - The New York Times","Scott Wheeler","Y","The New York Times","News",2018
"Intro to Hockey Analytics Q&A - Blueshirts Breakaway","Guest Writer","Y","Blueshirts Breakaway","Blog",2018
"Mirtle: Kyle Dubas won't be defined by hockey's archaic analytics debate - The New York Times","James Mirtle","Y","The New York Times","News",2018
"Hockey Analytics: Ditching Plus Minus - Puck Prose","Thomas G","N","Puck Prose","Website",2018
"Bourne: What does an NHL statistical analyst do, how do the numbers shape strategy, and where is this all going? - The New York Times","Justin Bourne","Y","The New York Times","News",2018
"The Overwhelming Statistical Case for Chris Kreider - Blueshirts Breakaway","Drew Way","Y","Blueshirts Breakaway","Blog",2017
"Contextualizing Some Popular Hockey Analytics Charts - Blueshirts Breakaway","Drew Way","Y","Blueshirts Breakaway","Blog",2018
"How well does each team forecheck? - The Athletic - The New York Times","Ryan Stimson","Y","The New York Times","News",2018
"New York Rangers: Understanding the team through analytics - Blue Line Station","Nicholas Zararis","Y","Blue Line Station","Website",2018
"Custance: NHL stars suspicious of latest data on ideal time to pull the goalie - The Athletic - The New York Times","Craig Custance","Y","The New York Times","News",2018
"Corsi? PDO? Explaining some of hockey’s analytics terms - Sportsnet.ca","Canadian Press","N","Sportsnet.ca","Website",2018
"Why Ben Bishop hates goalie analytics - ESPN","Greg Wyshynski","Y","ESPN","Website",2018
"More than a numbers guy: John Chayka brings diverse skill set as Coyotes GM - The New York Times","Craig Morgan","Y","The New York Times","News",2018
"Saskatoon coach bringing NHL-style analytics to bantam hockey - CBC","Kelly Provost","Y","CBC","News",2018
"WILD PAIR ANALYTICS WITH COACHES' INSTINCTS TO GET MOST OUT OF PLAYERS - Iowa Wild","Iowa Wild","Y","Iowa Wild","Team/League Source",2018
"Meet Charlie Townsend, the Sharks' 'filter' for advanced stats and analytics - The New York Times","Kevin Kurz","Y","The New York Times","News",2018
"Counterpoints | When NHL Best Practices Go Overboard - MIT Sloan Management Review","Massachusetts Institute Of Technology","N","MIT Sloan Management Review","Website",2018
"In an age of analytics, Bruce Cassidy still finds value in his hand-written notecards - The New York Times","Joe Mcdonald","Y","The New York Times","News",2019
"How Analytics Will Help Win the Next Stanley Cup - The Walrus","Nathaniel Basen; Glenn Harvey","Y","The Walrus","Website",2019
"NHL develops iPad app to give coaches live stats during games - ESPN","Greg Wyshynski","Y","ESPN","Website",2019
"Inside the arrival of NHL player tracking, from microchips to megabets - ESPN","Greg Wyshynski","Y","ESPN","Website",2019
"Seattle’s team must prepare for incoming tidal wave of advanced NHL stats - The Seattle Times","Geoff Baker","Y","The Seattle Times","News",2019
"Devils hire Tyler Dellow as Vice President of Analytics - NHL.com","NHL","N","NHL.com","Team/League Source",2019
"Meghan Chayka’s work in analytics is breaking ground in hockey in more ways than one - The New York Times","Jordan Samuels-Thomas","Y","The New York Times","News",2019
"Devils hire Tyler Dellow to run team’s analytics department - NJ.com","Chris Ryan","Y","NJ.com","Website",2019
"NHL Analytics: Why Moneyball will never work in professional hockey - Puck Prose","Ant Barberio","Y","Puck Prose","Website",2019
"How the Rangers could further involve analytics in the front office’s approach - The New York Times","Shayna Goldman","Y","The New York Times","News",2019
"Stanley Cup Finals has Hockey Fans Tuning into PodcastOne's Dr. Hockey Podcast for NHL Analysis, Celebrity Guests - PR Newswire","Jay Calvert","Y","PR Newswire","News",2019
"When should hockey teams pull the goalie? Study finds optimal time. - Big Think","Stephen Johnson","Y","Big Think","Website",2019
"Improving our NHL projection model ahead of the 2019-20 season - The Athletic - The New York Times","Dom Luszczyszyn","Y","The New York Times","News",2019
"Canucks hire former Daily Hive writer Ryan Biech to analytics department - Daily Hive","Rob Williams","Y","Daily Hive","Website",2019
"Measuring ice hockey skills in a repeated measures testing context: The effects of fatigue on skating efficiency, passing, agility, and shooting - The Sport Journal","U.S. Sports Academy","N","The Sport Journal","News",2018
"What new tracking data and gambling might mean for NHL, fans - Sportsnet.ca","Elliotte Friedman","Y","Sportsnet.ca","Website",2019
"The story of HockeyDB: 'It sort of changed the world' - The New York Times","Craig Custance","Y","The New York Times","News",2019
"Analytics wind up for a shot in ice hockey - Knowable Magazine","Yen Duong","Y","Knowable Magazine","News",2019
"Wysh List: The most overrated advanced stats in hockey - ESPN","Greg Wyshynski","Y","ESPN","Website",2019
"‘I think we’re at the forefront’: Blackhawks confident in secretive analytics department’s place in NHL - The New York Times","Scott Powers","Y","The New York Times","News",2019
"Ducks’ Erik Gudbranson weighs in on analytics debate around him and his fit with his new team - The New York Times","Eric Stephens","Y","The New York Times","News",2019
"Are Stats a Distraction in Youth Hockey? - Minnesota Hockey","Steve Mann; Heather Rule; Jessi Pierce","Y","Minnesota Hockey","Team/League Source",2019
"Hockey advanced stats primer, Part 2: How can (and should) we measure play-driving ability? - The Athletic - The New York Times","Charlie OConnor","Y","The New York Times","News",2019
"Number crunchers, stat gurus gather for NHL analytics conference - Toronto Sun","Justin Holmes","Y","Toronto Sun","News",2020
"Valeri Nichushkin likely having a better year than Leon Draisaitl, according to analytics enthusiasts. Hmm - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2020
"Here are all the sad stats about the Detroit Red Wings miserable season - FanSided","Mary Clarke","Y","FanSided","Blog",2020
"Primer: Advanced analytics in hockey made simple - DK Pittsburgh Sports","Taylor Haase","Y","DK Pittsburgh Sports","Website",2020
"Applying analytics to 2019 Women’s Worlds - IIHF","Lucas Aykroyd","Y","IIHF","Team/League Source",2020
"Meghan Chayka reconnecting hockey’s analytics community amid pandemic - Sportsnet.ca","Sonny Sachdeva","Y","Sportsnet.ca","Website",2020
"The Science of Scoring - Ontario Minor Hockey Association","Ontario Minor Hockey Association","N","Ontario Minor Hockey Association","Website",2020
"The future of hockey broadcasting is making analytics mainstream - The Athletic - The New York Times","Shayna Goldman","Y","The New York Times","News",2020
"Watching Hockey Through a Four-Inch Window: How Real-Time Data Is Poised to Transform the NHL - Sports Business Journal","Joe Lemire","Y","Sports Business Journal","News",2020
"Montreal Canadiens: A Decade of Statistics (2010-2019) - The Hockey Writers","Jason Paul","Y","The Hockey Writers","Website",2020
"Zone exit data reveals Canucks are one of NHL’s most improved teams at breakouts - The New York Times","Harman Dayal","Y","The New York Times","News",2020
"Seattle Kraken hire former NHL player Gary Roberts, six others in hockey operations, analytics  ESPN","Emily Kaplan","Y","ESPN","Website",2020
"In Defense of Corsi  All About The Jersey","Jenna Verrico","Y","All About The Jersey","Website",2020
"How the Lightning’s Michael Peterson became an NHL analytics pioneer  The New York Times","Joe Smith","Y","The New York Times","News",2020
"An Inside Look at Analytics With Eric Tulsky | Carolina Hurricanes  NHL.com","Michael Smith","Y","NHL.com","Team/League Source",2020
"Building the Kraken roster involves one of the NHL’s largest analytics staffs  The New York Times","Ryan S. Clark","Y","The New York Times","News",2020
"Meet the man leading the Penguins into a new era of hockey analytics  Pittsburgh Post-Gazette","Mike Defabo","Y","Pittsburgh Post-Gazette","News",2020
"Staturday Weekly Column #3: Getting to know the Maple Leafs’ Analytics Department  The Leafs Nation","Ryan Hobart","Y","The Leafs Nation","Blog",2020
"Carolina Hurricanes: The meteoric rise of Eric Tulsky  Cardiac Cane","Conor Power","Y","Cardiac Cane","Blog",2021
"NHL Puck Goes High-Tech for 2021 Season in the Name of Analytics  Commercial Integrator","Craig MacCormack","Y","Commercial Integrator","Website",2021
"Brad Marchand isn’t thrilled with the NHL’s video replay and new-age stats  The Boston Globe","Matt Porter","Y","The Boston Globe","News",2021
"Visualising how NHL players have performed in expected goals versus goals  The Win Column","Bill Tran","Y","The Win Column","Website",2021
"Jets star Mark Scheifele has no time for 'hogwash' analytics  Yahoo Sports Canada","Arun Srinivasan","Y","Yahoo Sports Canada","Website",2021
"How an analytics model used years of data to predict upsets in this year’s NCAA Tournament - The Athletic  The New York Times","Dan Santaromita","Y","The New York Times","News",2021
"How the NHL Employs AWS to Maximize Its IoT Hardware and Engage Fans  Engineering.com","Zeeshan Hussain","Y","Engineering.com","Website",2021
"Hockey Analytics: 4v4 Play Performance  NBC Sports","Gus Katsaros","Y","NBC Sports","News",2021
"Adjusting How We Evaluate and Analyze Goaltenders  The Hockey Writers","Jake Zrihen","Y","The Hockey Writers","Website",2021
"NHL, Amazon Web Services to debut advanced stats during playoffs  NHL.com","NHL Public Relations","N","NHL.com","Team/League Source",2021
"AWS and NHL launch new stats powered by AWS in advance of Stanley Cup Playoffs  About Amazon","Amazon Staff","N","About Amazon","Website",2021
"NHL To Debut Shot, Save Analytics Powered by AWS During 2021 Stanley Cup Playoffs  Sports Video Group","Brandon Costa","Y","Sports Video Group","Website",2021
"SAP-NHL Coaching Insights app enhances real-time game data  TechTarget","News Director","N","TechTarget","Website",2021
"Mehta's pioneering role in analytics leads him to Panthers front office  NHL.com","Cristina Ledra","Y","NHL.com","Team/League Source",2021
"Penguins Lose Analytics Guru Sam Ventura to Buffalo Sabres  Pittsburgh Hockey Now","Dan Kingerski","Y","Pittsburgh Hockey Now","Website",2021
"Sabres name Sam Ventura VP of hockey strategy and research  Buffalo Hockey Beat","Bill Hoppe","Y","Buffalo Hockey Beat","Website",2021
"Penguins analytics guru Sam Ventura hired away by Buffalo Sabres  Pittsburgh Post-Gazette","Mike Defabo","Y","Pittsburgh Post-Gazette","News",2021
"Breaking down the inconsistencies in counting hits between different NHL arenas  The Win Column","Karim Kurji","Y","The Win Column","Website",2021
"Fantasy Hockey Scoring Is Flawed; Analytics Can Help  The Hockey Writers","Dante Giugliano","Y","The Hockey Writers","Website",2021
"Data Dump: How usage of 16-year-old players has shifted in WHL  Sound Of Hockey","John Barr","Y","Sound Of Hockey","Website",2021
"NHL teams have more data than ever; figuring out what matters is new test - Sportsnet.ca","Justin Bourne","Y","Sportsnet.ca","Website",2021
"Here are the analytics the Kraken valued when building its roster, and what they mean - The Seattle Times","Marisa Ingemi","Y","The Seattle Times","News",2021
"Hockey Analytics: Defensive Metrics - NBC Sports","Gus Katsaros","Y","NBC Sports","News",2021
"Player Tracking in Youth Hockey? The Future is Now - The Hockey News","Matt Larkin","Y","The Hockey News","Website",2021
"Catapult Develops First-Ever Goalie Performance Tracking, Giving Ice Hockey Coaches A 360° View Of Every Athlete - PR Newswire","Catapult","N","PR Newswire","Website",2021
"Analytics with Alison: Dangerous Passes - NHL.com","Alison Lukan","Y","NHL.com","Team/League Source",2021
"Synergy Sports named “Official Analytics Provider of the ECHL"" - ECHL","ECHL","N","ECHL","Website",2021
"Comparing public expected goal models: How they work and what we should take away from them - The New York Times","Shayna Goldman","Y","The New York Times","News",2021
"Meet Michael Perelman, the ""numbers guy"" for the St. Louis Blues - - St. Louis Jewish Light","Bill Motchan","Y","St. Louis Jewish Light","Website",2022
"Analytics with Alison: Being Heavy on the Puck - NHL.com","Alison Lukan","Y","NHL.com","Team/League Source",2022
"How to build an analytics department: Montreal Canadiens (and others) prepare to join NHL’s push into big data - The New York Times","Marc Antoine Godin","Y","The New York Times","News",2022
"Canucks hire former Devils analyst Rachel Doerrie in analytics role - Vancouver Is Awesome","Rachel Doerrie","Y","Vancouver Is Awesome","Website",2022
"NHL ANALYTICS: EVALUATING SHOT ASSISTS - NBC Sports","Gus Katsaros","Y","NBC Sports","News",2022
"NHL ANALYTICS: GOALS SAVED ABOVE EXPECTED - NBC Sports","Gus Katsaros","Y","NBC Sports","News",2022
"What Do NHL Coaches Really Think About Analytics? – Chris Therien Finds Out - Crossing Broad","Crossing Broad Staff","N","Crossing Broad","Blog",2022
"A look into the Devils’ analytics team, how they understand data and their relationship with the front office - The New York Times","Shayna Goldman","Y","The New York Times","News",2022
"AWS and the NHL Unveil New Face-off Probability Stat to Bring Hockey Fans Closer to the Action on the Ice - Business Wire","Business Wire","N","Business Wire","News",2022
"NHL, Amazon unveil new face-off probability stat - NHL.com","NHL Public Relations","N","NHL.com","Team/League Source",2022
"NHL launching faceoff probability stat with AWS technology - Tech Xplore","Stephen Whyno","Y","Tech Xplore","Website",2022
"Analytics with Alison: The Deserve to Win O'Meter - NHL.com","Alison Lukan","Y","NHL.com","Team/League Source",2022
"What is expected goal differential? The advanced stat sweeping through the hockey world - sportingnews.com","Bryan Murphy","Y","sportingnews.com","Website",2022
"In the hockey analytics community, Corey Sznajder ‘truly stands alone’ - The Athletic - The New York Times","Scott Powers","Y","The New York Times","News",2022
"‘They’re good nerds’ - Inside the collaborative partnership between Bruce Cassidy and Bruins' analytics staff - Boston Sports Journal","Conor Ryan","Y","Boston Sports Journal","News",2022
"AWA: Tilting the Ice - What it Means and how we Measure it - NHL.com","Alison Lukan","Y","NHL.com","Team/League Source",2022
"The Canadiens have found the person who will be charged with building their new hockey analytics department - The New York Times","Marc Antoine Godin","Y","The New York Times","News",2022
"Canadiens appoint Christopher Boucher as Director of Hockey Analytics - Sportsnet.ca","Sportsnet Staff","N","Sportsnet.ca","Website",2022
"With Jeff Greenberg aboard, Blackhawks seek to ‘close the gap’ between baseball, hockey data systems - Chicago Sun-Times","Ben Pope","Y","Chicago Sun-Times","News",2022
"Canucks promote Aiden Fox to head of analytics department - The Province","Patrick Johnston","Y","The Province","Website",2022
"Vancouver Canucks name Aiden Fox new head of team analytics department - Canucks Army","Mike Gould","Y","Canucks Army","Blog",2022
"Analytics in the NHL: Where it’s at and where it’s going next - The New York Times","Shayna Goldman","Y","The New York Times","News",2022
"Examining the value of NHL Draft picks - Sound Of Hockey","Curtis Isacke","Y","Sound Of Hockey","Blog",2022
"Advanced Analytics Hate the Rangers. They Keep Winning Anyway. - New York Magazine","Joe Delessio","Y","New York Magazine","News",2022
"How do NHL analytics measure player and team value? Explaining the key advanced stats - The New York Times","Shayna Goldman; Charlie OConnor","Y","The New York Times","News",2022
"NHL's new in-game faceoff probability combines data, technology to enhance viewer experience - ESPN","Greg Wyshynski","Y","ESPN","Website",2022
"At What Age Do NHL Players Reach Their Career-High Point Totals? | by Christian Lee | Hockey Stats - Medium","Christian Lee","Y","Medium","Website",2022
"How the Sabres’ 2022 NHL Draft strategy was boosted by Sam Ventura and the analytics department - The New York Times","Matthew Fairburn","Y","The New York Times","News",2022
"Inside the Stats: Basic Goalie Stats - Inside The Rink","Nick Piccolo","Y","Inside The Rink","Website",2022
"Hudl Acquires Sports Performance Analysis Provider InStat to Strengthen Its Suite of Professional Solutions - Business Wire","Business Wire","N","Business Wire","News",2022
"NBA analytics: Exactly how much does a win cost? - The New York Times","Mike Vorkunov; Seth Partnow","Y","The New York Times","News",2022
"Kraken promote analytics director Alexandra Mandrycky to assistant GM - The Seattle Times","Geoff Baker","Y","The Seattle Times","News",2022
"Inside the NHL's secret arms race for competitive advantage - ESPN","Emily Kaplan","Y","ESPN","Website",2022
"A newbie-friendly walkthrough of different hockey analytics resources - RMNB","Peter Hassett","Y","RMNB","Blog",2022
"NHL analytics and the advantage of mid-air tips: High shots, broken plays and ‘chaos’ - The New York Times","Fluto Shinzawa","Y","The New York Times","News",2022
"Penguins Perspectives: Spreadsheet hockey - CBS News","Patrick Damp","Y","CBS News","News",2022
"Measurement of temporal and spatial parameters of ice hockey skating using a wearable system - Nature","Aminreza Khandan; Ramin Fathian; Jason Carey; Hossein Rouhani","Y","Nature","Research",2022
"The DAWG Rating: Explaining the stat and showing every Canucks player’s DAWG Rating this season - Canucks Army","Faber","N","Canucks Army","Blog",2022
"Analytics With Alison: Beyond the Stat: Faceoffs - NHL.com","Alison Lukan","Y","NHL.com","Team/League Source",2023
"How the Wild have embraced analytics — an inside look: ‘It’s part of everything’ - The New York Times","Joe Smith","Y","The New York Times","News",2023
"Why good players on bad teams can’t be judged by their stats alone - Sportsnet.ca","Justin Bourne","Y","Sportsnet.ca","Website",2023
"Sport & Entertainment Analytics Conference honors Tampa Bay Lightning with Innovator Award - University of South Florida","Elizabeth Brown","Y","University of South Florida","Website",2023
"How Ciatti, Hall built Michigan hockey analytics, video departments - The Michigan Daily","Noah Kingsley","Y","The Michigan Daily","News",2023
"How and why do microstats matter? A conversation with Corey Sznajder - Elite Prospects","JFresh","N","Elite Prospects","Website",2023
"Do you still have to be an Analytics Darling to win the Stanley Cup? - Daily Faceoff","Matt Larkin","Y","Daily Faceoff","Website",2023
"The Athletic joins MIT’s Sloan Sports Analytics Conference — part one - The New York Times","John Muller","Y","The New York Times","News",2023
"Introducing the ‘new’ NHL stats fans should know: Offensive and Defensive Rating - The New York Times","Dom Luszczyszyn","Y","The New York Times","News",2023
"Opportunity Analysis: How player and puck tracking data help us measure shot quality - Sportsnet.ca","Justin Bourne","Y","Sportsnet.ca","Website",2023
"Using data to better understand hockey performance | Mathematics - University of Waterloo","University of Waterloo","N","University of Waterloo","Website",2023
"This Johns Hopkins student believes AI can bolster hockey analytics - The Washington Post","Roman Stubbs","Y","The Washington Post","News",2023
"Rangers’ Hanes named Developer & Data Scientist with NHL’s Flames - Canadian Hockey League","Kitchener Rangers","N","Canadian Hockey League","Team/League Source",2023
"Trying to explain how NHL teams use analytics - shapshotshockey.com","Sean Shapiro","Y","shapshotshockey.com","Website",2023
"Ten NHL players analytics were wrong about and the lessons learned - The New York Times","Harman Dayal","Y","The New York Times","News",2023
"A whole new way to determine Hall of Fame worthiness - Daily Faceoff","Frank Seravalli","Y","Daily Faceoff","Website",2022
"Lies, Damn Lies, and Faceoff Percentages - Arctic Ice Hockey","garrethohl","N","Arctic Ice Hockey","Website",2023
"Edmonton Oilers hire new director for analytics department - Sportsnet.ca","Sportsnet Staff","N","Sportsnet.ca","Website",2023
"On the 'analytics revolution' and a positive thought for the sport of hockey - Sportsnet.ca","Justin Bourne","Y","Sportsnet.ca","Website",2023
"Explaining the Corsi advanced stat and how to interpret it in hockey - Canucks Army","Michael Liu","Y","Canucks Army","Blog",2023
"Unlocking the Future of Fantasy Hockey with NHL Equivalency and Player Tracking Technology - DobberHockey","Stas Pupkov","Y","DobberHockey","Website",2023
"Edmonton Oilers take bigger, bolder step into the advanced analytics world with hire of Michael Parkatti - Edmonton Journal","Kurt Leavins","Y","Edmonton Journal","News",2023
"How the NHL’s new stats and analytics hub will take fans inside the game - The Athletic - The New York Times","Michael Russo","Y","The New York Times","News",2023
"NHL EDGE advanced stats section brings fans closer to game - NHL.com","NHL Public Relations","N","NHL.com","Team/League Source",2023
"NHL brings advanced puck tracking stats to public - ESPN","Greg Wyshynski","Y","ESPN","Website",2023
"The NHL’s new analytics site says the Capitals are very slow - RMNB","Peter Hassett","Y","RMNB","Blog",2023
"NHL EDGE website provides Puck and Player Tracking data to fans - NHL.com","Nicholas J. Cotsonika","Y","NHL.com","Team/League Source",2023
"How the NHL can improve its brand new player, puck-tracking data - The Athletic - The New York Times","Dom Luszczyszyn","Y","The New York Times","News",2023
"The NHL in 2023: What the data reveals about the ice hockey league's key strategic challenges - SportsPro","Danni Moore","Y","SportsPro","Website",2023
"NHL's tracking data bringing fans closer to game, but context remains important - Sportsnet.ca","Eric Engels","Y","Sportsnet.ca","Website",2023
"Everything you need to know about NHL EDGE—the NHL’s new advanced stats platform - The Win Column","James Johnson","Y","The Win Column","Website",2023
"Five interesting Blues stats from the NHL’s new player-, puck-tracking data - The New York Times","Jeremy Rutherford","Y","The New York Times","News",2023
"NHL Brings Fans Closer to the Game with Launch of NHL EDGE Advanced Stats Section on NHL.com - NHL Media","NHL Public Relations","N","NHL Media","Team/League Source",2023
"Sidney Crosby vs. Alex Ovechkin: Key stats you need to know in the heated debate between hockey superstars - sportingnews.com","Bryan Murphy","Y","sportingnews.com","Website",2023
"FIH Hockey Data Hub: Unleashing the Power of Hockey Statistics - Fédération Internationale de Hockey","IIHF","N","Fédération Internationale de Hockey","Website",2023
"Analytics Advantage: Comparing Expected Goal Scoring with High-, Medium-, and Low-Danger Scoring - DobberHockey","Stas Pupkov","Y","DobberHockey","Website",2023
"Breaking down NHL Edge data: How important is zone time and efficiency? - The New York Times","Dom Luszczyszyn","Y","The New York Times","News",2023
"Analytics Advantage: Expected Goals Against and Actual Goals Against for Goaltenders - DobberHockey","Stas Pupkov","Y","DobberHockey","Website",2023
"Jepson grad scores big in hockey analytics - UR Now","University of Richmond","N","UR Now","Website",2023
"Bystander or play-driver: Points scored when these players are on the ice - ESPN","Sean Allen","Y","ESPN","Website",2023
"How analytics are helping Canadiens’ Nick Suzuki evaluate his game and not obsess over points - The New York Times","Arpon Basu","Y","The New York Times","News",2023
"Analytics Advantage: Impact of Defensemen and Quantifying Secondary Stats - DobberHockey","Stas Pupkov","Y","DobberHockey","Website",2023
"What would a 2023-24 Analytics All-Star team look like? - Daily Faceoff","Scott Maxwell","Y","Daily Faceoff","Website",2024
"Challenging ""the analytics"" & defending Detroit Red Wings star Moritz Seider - Octopus Thrower","Tyler Kotila","Y","Octopus Thrower","Blog",2024
"The FYI on TOI: Shorter Shifts Win - NHL.com","Bob Condor","Y","NHL.com","Team/League Source",2024
"The Impact of Analytics on Modern Ice Hockey: How Data is Changing the Game - Wilkes-Barre/Scranton Penguins","Wilkes-Barre Scranton Penguins","N","Wilkes-Barre/Scranton Penguins","Team/League Source",2024
"After 21 years behind a bench, Jim Hiller gets his big chance with the Kings. What is his path to success? - The Athletic - The New York Times","Eric Stephens","Y","The New York Times","News",2024
"Bell curves and bias: how percentiles can strip away context in hockey stats - The Leafs Nation","Jon Steitzer","Y","The Leafs Nation","Blog",2024
"Analytics Advantage: Shooting Percentage, Expected Goals, and Over/Underperformance - DobberHockey","Stas Pupkov","Y","DobberHockey","Website",2024
"Analytics Perspective: Diving Into Quinton Byfield’s Breakout Season - MayorsManor.com - LA Kings News","Mayorsmanor Staff; Ted Wolfe; Drew Stahl","N","MayorsManor.com - LA Kings News","Website",2024
"Why playing goal in the NHL has never been harder: Analytics, talent, chaos and equipment - The Athletic - The New York Times","Murat Ates; Fluto Shinzawa","Y","The New York Times","News",2024
"Analytics Advantage: High-Danger Save Percentage, Goals Saved Above Average, and Top Goalie Performances - DobberHockey","Stas Pupkov","Y","DobberHockey","Website",2024
"Using analytics to determine the NHL’s five best brother combos - Daily Faceoff","Scott Maxwell","Y","Daily Faceoff","Website",2024
"'Open people's eyes': How the NHL's evolved in the decade of data - theScore","John Matisz","Y","theScore","Website",2024
"‘Game-Changing’ Careers at the Intersection of Sports and Data · Babson Thought & Action - Babson College","Melissa Savignano; John Crawford; Bryan Lipiner; Hillary Chabot","Y","Babson College","Website",2024
"Going top shelf with AI to better track hockey data - University of Waterloo","University of Waterloo","N","University of Waterloo","Website",2024
"Moritz Seider, The Model and how usage affects an NHL player’s on-ice numbers - The New York Times","Dom Luszczyszyn","Y","The New York Times","News",2024
"University of Waterloo using AI to analyze hockey decisions on the ice - CTV News","Colton Wiens","Y","CTV News","News",2024
"What Rangers' stats say about their potential in playoffs - ESPN","Greg Wyshynski","Y","ESPN","Website",2024
"NHL Taps U of G Prof to Turn Data Analysis into Winning Strategy - U of G News","University of Guelph","N","U of G News","Website",2024
"The AI Faceoff: Revolutionizing Hockey With Cutting-Edge Technology - Forbes","Neil Sahota","Y","Forbes","News",2024
"Meet the PWHL’s Analytics Hires - The IX Sports","Carlie","N","The IX Sports","Blog",2024
"NHL breaks the ice with cutting-edge live cloud production powered by AWS | Amazon Web Services - Amazon Web Services (AWS)","Andrew Reich; Alex Murel; Alex Norrman; Luke Potter","Y","Amazon Web Services (AWS)","Blog",2024
"Shot quality vs. shot quantity & the changing landscape of ‘possession’ - Daily Faceoff","Scott Maxwell","Y","Daily Faceoff","Website",2024
"England Ice Hockey Partners with Hudl to Provide Instat Analysis for Showcase Draft - Hudl","HUDL","N","Hudl","Website",2024
"How use of analytics is part of Colorado Avalanche’s secret sauce: “Numbers are unemotional” - The Denver Post","Corey Masisak","Y","The Denver Post","News",2024
"Full of Firsts: How hockey analyst Alison Lukan inspires through data-driven storytelling - Daily Faceoff","Silvia Leija Rosas","Y","Daily Faceoff","Website",2024
"NHL providing data-driven broadcast of Western Conference Final - NHL.com","Christopher Detwiler","Y","NHL.com","Team/League Source",2024
"Kevin De Bruyne and the rise of data and analytics in contract negotiations - The New York Times","Gregg Evans","Y","The New York Times","News",2024
"Inside the Sabres' pre-Draft analytics process - NHL.com","Katelyn Kardaman","Y","NHL.com","Team/League Source",2024
"Data Analysis: Does fresh ice make it easier to score goals? - Sound Of Hockey","Blaiz Grubic","Y","Sound Of Hockey","Blog",2024
"Canucks' analytics guru Aiden Fox gets a small promotion - The Province","Patrick Johnston","Y","The Province","Website",2024
"How NHL teams use data in free agency: An inexact science, the eye test and big money - The Athletic - The New York Times","Arthur Staple","Y","The New York Times","News",2024
"Eric Tulsky, former Flyers blogger, named General Manager of the Carolina Hurricanes - Broad Street Buzz","Ariel Melendez","Y","Broad Street Buzz","Blog",2024
"Stars recognized for innovative use of analytics and Artificial Intelligence | Dallas Stars - NHL.com","Mike Heika","Y","NHL.com","Team/League Source",2024
"Data-Informed: How Ottawa Senators GM Steve Staios Used Analytics to Help Decide on New Head Coach Travis Green - The Hockey News","Steve Warne","Y","The Hockey News","Website",2024
"Spicing up Ice Hockey with AI: Player Tracking with Computer Vision - Towards Data Science","Raul Vizcarra Chirinos","Y","Towards Data Science","Website",2024
"Why Plus/Minus is the Worst Statistic in Hockey - Arctic Ice Hockey","Daniel Lipson","Y","Arctic Ice Hockey","Website",2023
"Explaining PDO and why it matters in hockey - Canucks Army","Michael Liu","Y","Canucks Army","Blog",2023
"Breaking down NHL Edge data: How important is shot speed and location? - The Athletic - The New York Times","Dom Luszczyszyn","Y","The New York Times","News",2023
"Do shootout goals count as goals in NHL? Exploring whether it adds to personal stats like any other goal - Sportskeeda","Arnab Mondal","Y","Sportskeeda","Website",2023
"Hit update: The NHL's hits adjustment and the players who benefit - ESPN","Sean Allen","Y","ESPN","Website",2024
"Behind the NHL’s massive hits audit, and what it means for players, bettors and fantasy leagues - The New York Times","Michael Russo","Y","The New York Times","News",2024
"FIH Hockey Nations Cup 2022/23: A statistical rewind - Fédération Internationale de Hockey","International Hockey Federation","N","Fédération Internationale de Hockey","Website",2024
"Jacob Markstrom's Statistical Rankings Amongst Active NHL Netminders - The Hockey News","Ryan Gagne","Y","The Hockey News","Website",2024
"RED+ is the ÖEHV’s new live streaming and statistics partner - Ringier","Aline Theiler","Y","Ringier","Website",2024
