"Title","Author","indivauthor","Publication","Type","Year"
"Hockey analytics are about to take a giant leap toward advanced stats","Mirtle, James","Y","The Globe and Mail","News",2014
"Red Wings' Abdelkader finishes degree with paper on hockey analytics","Duff, Bob","Y","The Vancouver Sun","News",2016
"Figure it out; As advance stats continue to reshape the game, NHL number crunchers descend on Columbus to attend the Blue Jackets'Hockey Analytics Conference","Holmes, Justin","Y","The Toronto Sun","News",2020
"Canucks add former Sudbury Wolves analyst; Rachel Doerrie, a Laurentian University grad, to work the NHL team's hockey analytics department","Johnston, Patrick","Y","Sudbury Star","News",2022
"Early results don't prove anything; Advanced analytics don't always add up when you apply them to the National Hockey League","Arthur, Bruce","Y","The Gazette","News",2013
"Lies, damned lies -- and statistics: They can be useful, but they don't tell much of a story","Hrudey, Kelly","Y","Calgary Herald","News",2005
"Leafs look to stat crunchers for help ; HOCKEY: Club signs three-year deal with SAS Analytics","Hornby, Lance","Y","St. Thomas Times-Journal","News",2014
"Only one statistic matters","Hickey, Pat","Y","The Gazette","News",2010
"NHL embracing hockey analytics at last; Stats like Corsi and Fenwick being added to league website, but changes will have ripple effect","Jamieson, Jim","Y","The Province","News",2015
"Which analytics offer best insight into hockey?; Teams can compile great numbers and still be losers, writes William Hanson","William Hanson","Y","Edmonton Journal","News",2017
"Can analytics really be applied to hockey?; What works in baseball doesn't easily translate to a fast, fluid game","Willes, Ed","Y","The Province","News",2013
"It's the Year of the Number with hockey analytics; Opinions divided on new approach","Todd, Jack","Y","The Gazette","News",2014
"'Moneypuck' unlikely to take over soon; Use of analytics growing in hockey, but NHL teams are a long way from stats-crazy baseball","Staples, David","Y","Edmonton Journal","News",2012
"The art and science of hockey scouting; In an era of analytics, choosing players remains a very imprecise business","Willes, Ed","Y","Edmonton Journal","News",2013
"Beyond G, A, P: The new statistics explained","Joshua Clipperton","Y","Tribune","News",2018
"Numbers take over the NHL","McGran, Kevin","Y","Toronto Star","News",2019
"EDITORIAL: Statistics can be useful tools","Anonymous","N","Nanaimo News Bulletin","News",2010
"Off of his skates and into the data","Brennan Doherty","Y","Toronto Star","News",2021
"Don't know what OZFO% is? Don't worry, you're not alone; Hockey's advanced stats may read like Greek at first, but they're surprisingly easy to decipher","Jamieson, Jim","Y","The Province","News",2013
"Leafs hire stats guru in shakeup","McGran, Kevin","Y","Toronto Star","News",2014
"DO THE MATH ; CORSI, FENWICK, PDO AND ALL THE OTHER 'FANCY STATS' ARE BECOMING COMMON TERMS WHEN PEOPLE TALK HOCKEY. HERE'S WHY THE NHL IS, MORE AND MORE, EMBRACING THE SCIENCE OF ANALYTICS","MATISZ, JOHN","Y","The Toronto Sun","News",2014
"It's the good old analytics game","Pender, Terry","Y","Waterloo Region Record","News",2015
"Analytics can also give insight into coaching performance","Cooper, Ian","Y","Toronto Star","News",2014
"Corsi, Fenwick, PDO and all the other 'fancy stats' are becoming common terms when people talk hockey. Here's why the NHL is, more and more, embracing the science of analytics","MATISZ, JOHN","Y","The Edmonton Sun","News",2014
"Stats heads all-in on analytics; ANNUAL CONFERENCE","Matisz, John","Y","The Province","News",2017
"Sports stats take flight","Menzies, David","Y","National Post","News",1999
"Leafs' hiring of Dubas gives stats gurus nice boost","Cooper, Ian","Y","Toronto Star","News",2014
"Leafs charging head-first into world of analytics","Zwolinski, Mark","Y","Toronto Star","News",2014
"Pacioretty cares about wins, not his statistics; Sniper's on pace for 40-goal season, answers his own call for more offence","Hickey, Pat","Y","Montreal Gazette","News",2015
"Statistics and studs","Mabin, Connie","Y","Telegram","News",2006
"Maple Leafs' collapse astonishing; Awful puck-possession statistics have caught up to Toronto","Arthur, Bruce","Y","Edmonton Journal","News",2014
"Data debate at the heart of Pittsburgh's retooling under caretaker GM Rutherford","Mirtle, James","Y","The Globe and Mail","News",2014
"Numbers no measure of the man; Coyotes stalwart Shane Doan proves there's more to the game than statistics","Gallagher, Tony","Y","The Province","News",2014
"Lines being drawn in analytics battle","Stinson, Scott","Y","Calgary Herald","News",2014
"Analyst seeks Devils bargain with numbers; Extra edge would be helpful for rebuilding team","Pickens, Pat","Y","National Post","News",2015
"Sea Dogs add analytics to equation","Briggs, Scott","Y","Telegraph-Journal","News",2014
"Defining the new language of hockey; Montreal-based Sportlogiq aims to change the NHL with smart stats","Lindeman, Tracey","Y","Montreal Gazette","News",2015
