Title,Subtitle,Author,indivauthor,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,DocumentUrl,DOI
Hockey analytics are about to take a giant leap toward advanced stats,,"Mirtle, James",Y,The Globe and Mail,News,,,,2014-09-09,2014-09-09,S.1,,S.1,03190714,,,ENG,https://www.proquest.com/docview/1560755354?accountid=14771&bdid=165203&_bd=7gNjx39lEsfLE7aLgRUzBfnHmOQ%3D,
Red Wings' Abdelkader finishes degree with paper on hockey analytics,,"Duff, Bob",Y,The Vancouver Sun,News,,,,2016-02-15,2016-02-15,B.5,,,08321299,,,ENG,https://www.proquest.com/docview/1765229291?accountid=14771&bdid=165203&_bd=j%2BZN7xjlhPkI6PaE0VEdbDiFPAI%3D,
"Figure it out; As advance stats continue to reshape the game, NHL number crunchers descend on Columbus to attend the Blue Jackets'Hockey Analytics Conference",,"Holmes, Justin",Y,The Toronto Sun,News,,,,2020-02-11,2020-02-11,S.9,,,08373175,,,ENG,https://www.proquest.com/docview/2353327159?accountid=14771&bdid=165203&_bd=PLL2wRy1ZEPi75nRLjGSPgdIk7g%3D,
"Canucks add former Sudbury Wolves analyst; Rachel Doerrie, a Laurentian University grad, to work the NHL team's hockey analytics department",,"Johnston, Patrick",Y,Sudbury Star,News,,,,2022-01-21,2022-01-21,B.1,,,08392544,,,ENG,https://www.proquest.com/docview/2621827899?accountid=14771&bdid=165203&_bd=a2JznyP516sImJ4lWcDlkP5vdYk%3D,
Early results don't prove anything; Advanced analytics don't always add up when you apply them to the National Hockey League,,"Arthur, Bruce",Y,The Gazette,News,,,,2013-10-07,2013-10-07,B.5,,,03841294,,,ENG,https://www.proquest.com/docview/1440175880?accountid=14771&bdid=165203&_bd=A6PJLVmfW0qV454MeT2uaax3H5E%3D,
"Lies, damned lies -- and statistics: They can be useful, but they don't tell much of a story",[Final Edition],"Hrudey, Kelly",Y,Calgary Herald,News,,,,2005-11-20,2005-11-20,D.2,,D2,08281815,,,ENG,https://www.proquest.com/docview/245330835?accountid=14771&bdid=165203&_bd=ViJqnMcxuv0SNFVMrWjUJa7pIaI%3D,
Leafs look to stat crunchers for help ; HOCKEY: Club signs three-year deal with SAS Analytics,,"Hornby, Lance",Y,St. Thomas Times-Journal,News,,,,2014-10-16,2014-10-16,8,,,08391580,,,ENG,https://www.proquest.com/docview/2205544266?accountid=14771&bdid=165203&_bd=JfJo91d%2BFroOJ9Yq2XVX52vyL9E%3D,
Only one statistic matters,,"Hickey, Pat",Y,The Gazette,News,,,,2010-04-29,2010-04-29,B.11,,,03841294,,,ENG,https://www.proquest.com/docview/230736979?accountid=14771&bdid=165203&_bd=YEoYKXfmeCMaj5%2F%2BAmyZEaBQ4QA%3D,
"NHL embracing hockey analytics at last; Stats like Corsi and Fenwick being added to league website, but changes will have ripple effect",,"Jamieson, Jim",Y,The Province,News,,,,2015-02-15,2015-02-15,A.64,,,,,,ENG,https://www.proquest.com/docview/1655453409?accountid=14771&bdid=165203&_bd=1KPaJ47vo8gP%2BMCnOCOlj4GAm6E%3D,
"Which analytics offer best insight into hockey?; Teams can compile great numbers and still be losers, writes William Hanson",,William Hanson,Y,Edmonton Journal,News,,,,2017-07-21,2017-07-21,A.10,,,0839296X,,,ENG,https://www.proquest.com/docview/1921381723?accountid=14771&bdid=165203&_bd=M28c6Zn3Qfilmizgq%2FyQV7GMOAA%3D,
"Can analytics really be applied to hockey?; What works in baseball doesn't easily translate to a fast, fluid game",,"Willes, Ed",Y,The Province,News,,,,2013-11-24,2013-11-24,B.8,,,,,,ENG,https://www.proquest.com/docview/1461314935?accountid=14771&bdid=165203&_bd=dXhcCIpBB%2Fzvk4MCpxMgfQi2cdY%3D,
It's the Year of the Number with hockey analytics; Opinions divided on new approach,,"Todd, Jack",Y,The Gazette,News,,,,2014-09-29,2014-09-29,D.1,,,03841294,,,ENG,https://www.proquest.com/docview/1566576727?accountid=14771&bdid=165203&_bd=w1DRmV2%2BCGATfur8xESWWiV3LGI%3D,
"'Moneypuck' unlikely to take over soon; Use of analytics growing in hockey, but NHL teams are a long way from stats-crazy baseball",,"Staples, David",Y,Edmonton Journal,News,,,,2012-03-03,2012-03-03,B.1,,,0839296X,,,ENG,https://www.proquest.com/docview/926248086?accountid=14771&bdid=165203&_bd=cUfDzFRA69GTxOhNXvTsjgHhO7A%3D,
"The art and science of hockey scouting; In an era of analytics, choosing players remains a very imprecise business",,"Willes, Ed",Y,Edmonton Journal,News,,,,2013-06-29,2013-06-29,D.6,,,0839296X,,,ENG,https://www.proquest.com/docview/1372566659?accountid=14771&bdid=165203&_bd=pYS1tGlvHDToqYqyT2lLh1JJwSo%3D,
"Beyond G, A, P: The new statistics explained",,Joshua Clipperton,Y,Tribune,News,,,,2018-10-04,2018-10-04,C.6,,,11863129,,,ENG,https://www.proquest.com/docview/2515904217?accountid=14771&bdid=165203&_bd=F6pbfLvTXtnMhV2B7bt1f5fl7IQ%3D,
Numbers take over the NHL,"New frontier of analytics is here, but it'll take time to figure out how to use it","McGran, Kevin",Y,Toronto Star,News,,,,2019-01-30,2019-01-30,S.5,,,03190781,,,ENG,https://www.proquest.com/docview/2172620093?accountid=14771&bdid=165203&_bd=r8kc7zD3mTcrFoLPk1Jf2zm7dVM%3D,
EDITORIAL: Statistics can be useful tools,,Anonymous,N,Nanaimo News Bulletin,News,,,,2010-07-05,2010-07-05,1,,,,,,ENG,https://www.proquest.com/docview/578453132?accountid=14771&bdid=165203&_bd=KdmNz2Qe8Ae%2BEVjeEJrAHSCfsc0%3D,
Off of his skates and into the data,"Sportlogiq's Buntin discusses his journey toward analytics, pivoting from cars, and more",Brennan Doherty,Y,Toronto Star,News,,,,2021-10-09,2021-10-09,B.1,,,03190781,,,ENG,https://www.proquest.com/docview/2580257292?accountid=14771&bdid=165203&_bd=LbvyJcrRT%2FNonOgfcMdudMp064E%3D,
"Don't know what OZFO% is? Don't worry, you're not alone; Hockey's advanced stats may read like Greek at first, but they're surprisingly easy to decipher",,"Jamieson, Jim",Y,The Province,News,,,,2013-11-24,2013-11-24,B.6,,,,,,ENG,https://www.proquest.com/docview/1461314735?accountid=14771&bdid=165203&_bd=dLMaMyPC0%2FYwt4xhmcYC6ZiT7%2Fk%3D,
Leafs hire stats guru in shakeup,"Kyle Dubas, 28, hired as assistant GM as organization opens up to analytics","McGran, Kevin",Y,Toronto Star,News,,,,2014-07-23,2014-07-23,S.1,,,03190781,,,ENG,https://www.proquest.com/docview/1547485834?accountid=14771&bdid=165203&_bd=1VEmD%2BSO2hytWzKD6xU1JHBPBiA%3D,
